title,id,imdb_id,tmdb_id,adult,release_date,revenue,runtime,vote_average,vote_count,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
Terminator 2: Judgment Day,terminator+2+judgment+day+1991,tt0103064,280,0,1991-07-01,520000000,137,7.7,4274,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Ghost,ghost+1990,tt0099653,251,0,1990-07-12,505000000,127,6.9,1381,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0
The Silence of the Lambs,the+silence+of+the+lambs+1991,tt0102926,274,0,1991-02-01,272742922,119,8.1,4549,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Toy Story,toy+story+1995,tt0114709,862,0,1995-10-30,373554033,81,7.7,5415,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Empire Strikes Back,the+empire+strikes+back+1980,tt0080684,1891,0,1980-05-17,538400000,124,8.2,5998,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Purple Rose of Cairo,the+purple+rose+of+cairo+1985,tt0089853,10849,0,1985-03-01,10631333,82,7.3,206,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Touch of Evil,touch+of+evil+1958,tt0052311,1480,0,1958-04-23,2247465,95,7.6,292,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
The Flintstones,the+flintstones+1994,tt0109813,888,0,1994-05-26,341631208,91,5.0,559,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Micmacs,micmacs+2009,tt1149361,27936,0,2009-10-28,14000000,100,6.8,150,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Twelve Monkeys,twelve+monkeys+1995,tt0114746,63,0,1995-12-29,168840000,129,7.4,2470,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Groundhog Day,groundhog+day+1993,tt0107048,137,0,1993-02-11,70906973,101,7.4,2358,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Baby's Day Out,babys+day+out+1994,tt0109190,11212,0,1994-07-01,16671505,99,5.8,281,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Seven Samurai,seven+samurai+1954,tt0047478,346,0,1954-04-26,271841,207,8.2,892,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
It Could Happen to You,it+could+happen+to+you+1994,tt0110167,10660,0,1994-07-29,0,101,6.1,154,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
The Science of Sleep,the+science+of+sleep+2006,tt0354899,300,0,2006-02-11,9524340,105,6.8,253,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Toy Story 2,toy+story+2+1999,tt0120363,863,0,1999-10-30,497366869,92,7.3,3914,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
