id,tmdb_id,imdb_id,title,original_title,adult,belongs_to_collection,budget,genres,homepage,original_language,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,vote_average,vote_count
terminator+2+judgment+day+1991,280,tt0103064,Terminator 2: Judgment Day,Terminator 2: Judgment Day,False,The Terminator Collection,100000000,Action|Thriller|Science Fiction,null,en,Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son  John  the future leader of the resistance  is the target for a newer  more deadly terminator. Once again  the resistance has managed to send a protector back to attempt to save John and his mother Sarah.,22.661695,/2y4dmgWYRMYXdD1UyJVcn2HSd1D.jpg,Lightstorm Entertainment|Pacific Western|Canal+|Carolco Pictures|T2 Productions,France|United States of America,1991-07-01,520000000,137,English|Español,Released,7.7,4274
ghost+1990,251,tt0099653,Ghost,Ghost,False,NAN,22000000,Fantasy|Drama|Thriller|Mystery|Romance,null,en,Sam Wheat is a banker  Molly Jensen is an artist  and the two are madly in love. However  when Sam is murdered by his friend and corrupt business partner Carl Bruner over a shady business deal  he is left to roam the earth as a powerless spirit. When he learns of Carl's betrayal  Sam must seek the help of psychic Oda Mae Brown to set things right and protect Molly from Carl and his goons.,11.945397,/rtxy3cplRFPUvruZajpcoxOQ7bi.jpg,Paramount Pictures,United States of America,1990-07-12,505000000,127,English,Released,6.9,1381
the+silence+of+the+lambs+1991,274,tt0102926,The Silence of the Lambs,The Silence of the Lambs,False,The Hannibal Lecter Anthology,19000000,Crime|Drama|Thriller,null,en,FBI trainee  Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter  a psychiatrist turned homicidal cannibal. Starling needs clues to help her capture a serial killer. but her Faustian relationship with Lecter soon leads to his escape  and now two deranged killers are on the loose.,4.307222,/qjAyTj2BSth1EQ89vNfo0JYVPFN.jpg,Orion Pictures|Strong Heart/Demme Production,United States of America,1991-02-01,272742922,119,English,Released,8.1,4549
toy+story+1995,862,tt0114709,Toy Story,Toy Story,False,Toy Story Collection,30000000,Animation|Comedy|Family,http://toystory.disney.com/toy-story,en,Led by Woody  Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart  Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner  the duo eventually learns to put aside their differences.,21.946943,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,Pixar Animation Studios,United States of America,1995-10-30,373554033,81,English,Released,7.7,5415
the+empire+strikes+back+1980,1891,tt0080684,The Empire Strikes Back,The Empire Strikes Back,False,Star Wars Collection,18000000,Adventure|Action|Science Fiction,http://www.starwars.com/films/star-wars-episode-v-the-empire-strikes-back,en,The epic saga continues as Luke Skywalker  in hopes of defeating the evil Galactic Empire  learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile  rebel leader Princess Leia  cocky Han Solo  Chewbacca  and droids C-3PO and R2-D2 are thrown into various stages of capture  betrayal and despair.,19.470959,/6u1fYtxG5eqjhtCPDx04pJphQRW.jpg,Lucasfilm|Twentieth Century Fox Film Corporation,United States of America,1980-05-17,538400000,124,English,Released,8.2,5998
beetlejuice+1988,4011,tt0094721,Beetlejuice,Beetlejuice,False,NAN,15000000,Fantasy|Comedy,null,en,Thanks to an untimely demise via drowning  a young couple end up as poltergeists in their New England farmhouse  where they fail to meet the challenge of scaring away the insufferable new owners  who want to make drastic changes. In desperation  the undead newlyweds turn to an expert frightmeister  but he's got a diabolical agenda of his own.,10.627364,/gWnW7vxm8yr01TVLQhL4aI02orp.jpg,Geffen Company, The|Warner Bros.,United States of America,1988-02-29,73326666,92,English,Released,7.1,1475
the+purple+rose+of+cairo+1985,10849,tt0089853,The Purple Rose of Cairo,The Purple Rose of Cairo,False,NAN,15000000,Fantasy|Comedy|Romance,null,en,Cecilia is a waitress in New Jersey  living a dreary life during the Great Depression. Her only escape from her mudane reality is the movie theatre. After losing her job  Cecilia goes to see 'The Purple Rose of Cairo' in hopes of raising her spirits  where she watches dashing archaeologist Tom Baxter time and again.,6.133697,/nWMT2WBzPtrXdjPlb28PFSrBGd0.jpg,Orion Pictures,United States of America,1985-03-01,10631333,82,English,Released,7.3,206
touch+of+evil+1958,1480,tt0052311,Touch of Evil,Touch of Evil,False,NAN,829000,Drama|Thriller|Crime,null,en,Stark  perverse story of murder  kidnapping  and police corruption in Mexican border town.,9.665347,/4fkBpBB461nZhee5vb8uVsiBAQM.jpg,Universal International Pictures (UI),United States of America,1958-04-23,2247465,95,English|Español,Released,7.6,292
the+flintstones+1994,888,tt0109813,The Flintstones,The Flintstones,False,The Flintstones (Live-Action) Collection,46000000,Fantasy|Comedy|Family,null,en,Modern Stone Age family the Flintstones hit the big screen in this live-action version of the classic cartoon. Fred helps Barney adopt a child. Barney sees an opportunity to repay him when Slate Mining tests its employees to find a new executive. But no good deed goes unpunished.,15.019586,/dnYXJZgstixBsOjF4JJrPCDRd2n.jpg,Universal Pictures|Amblin Entertainment|Hanna-Barbera Productions,United States of America,1994-05-26,341631208,91,English,Released,5.0,559
micmacs+2009,27936,tt1149361,Micmacs,Micmacs à tire-larigot,False,NAN,33000000,Action|Comedy|Crime,null,fr,A man and his friends come up with an intricate and original plan to destroy two big weapons manufacturers.  Avid movie-watcher and video store clerk Bazil has had his life all but ruined by weapons of war. His father was killed by a landmine in Morocco and one fateful night a stray bullet from a nearby shootout embeds itself in his skull  leaving him on the verge of instantaneous death. Losing his job and his home  Bazil wanders the streets until he meets Slammer  a pardoned convict who introduces him to a band of eccentric junkyard dealers including Calculator  a math expert and statistician  Buster  a record-holder in human cannonball feats  Tiny Pete  an artistic craftsman of automatons  and Elastic Girl  a sassy contortionist. When chance reveals to Bazil the two weapons manufacturers responsible for building the instruments of his destruction  he constructs a complex scheme for revenge that his newfound family is all too happy to help set in motion.,5.278672,/lgilU7TzFXhZWX39iYsEwJFdPKE.jpg,France 2 Cinéma|France 3 Cinéma|Epithète Films|France 3 (FR 3)|Région Ile-de-France|France 2 (FR2)|Orange Cinéma Séries|Tapioca Films|Warner Bros. Entertainment France,France,2009-10-28,14000000,100,Français,Released,6.8,150
