user_id,age,occupation,gender
18429,31,scientist,M
84059,25,programmer,M
91656,26,executive/managerial,M
14867,30,sales/marketing,M
103008,34,executive/managerial,M
89031,25,sales/marketing,F
50931,25,academic/educator,F
3912,31,homemaker,M
96024,32,sales/marketing,M
78585,34,college/grad student,M
11866,28,executive/managerial,M
99396,26,executive/managerial,M
27355,28,scientist,F
63418,40,writer,F
6566,29,scientist,M
71057,18,artist,F
102855,27,college/grad student,M
6089,26,college/grad student,M
2072,18,sales/marketing,M
56527,31,other or not specified,M
70124,28,scientist,F
32206,27,college/grad student,M
86749,29,sales/marketing,M
102833,27,self-employed,M
58033,29,technician/engineer,M
48486,36,lawyer,M
46095,27,sales/marketing,M
8154,26,scientist,M
77704,27,college/grad student,F
19477,31,sales/marketing,M
85304,28,homemaker,M
12928,18,K-12 student,M
31389,33,executive/managerial,M
89604,34,sales/marketing,M
6387,33,sales/marketing,M
54785,29,other or not specified,M
68083,30,college/grad student,M
61139,26,college/grad student,M
54544,28,college/grad student,M
58490,21,tradesman/craftsman,M
19755,20,scientist,M
8915,25,self-employed,M
41746,51,academic/educator,F
96925,29,artist,F
44367,27,self-employed,M
18499,42,executive/managerial,M
42856,29,self-employed,M
24529,28,executive/managerial,M
20813,32,college/grad student,M
14506,44,sales/marketing,M
31128,27,other or not specified,M
66924,28,clerical/admin,M
75158,29,sales/marketing,M
20640,34,executive/managerial,M
49110,19,technician/engineer,M
21114,30,college/grad student,F
41950,31,sales/marketing,M
23949,34,college/grad student,M
27840,21,college/grad student,M
12971,29,college/grad student,F
76820,26,other or not specified,F
34694,27,self-employed,M
5696,13,K-12 student,M
36308,35,artist,M
73732,31,self-employed,F
72873,28,homemaker,F
14912,33,academic/educator,M
57659,30,executive/managerial,M
36045,25,sales/marketing,M
103216,28,college/grad student,M
39292,28,self-employed,M
88784,30,homemaker,F
60954,29,self-employed,M
26530,28,self-employed,M
1549,26,college/grad student,M
12468,33,sales/marketing,M
101875,27,college/grad student,M
18178,25,executive/managerial,M
10647,29,academic/educator,F
18442,29,college/grad student,M
44668,26,executive/managerial,M
79543,33,college/grad student,M
86707,28,executive/managerial,M
48146,29,other or not specified,M
80484,31,sales/marketing,M
82902,29,scientist,M
26775,31,college/grad student,M
54499,33,K-12 student,M
57455,27,executive/managerial,M
6986,32,college/grad student,M
37825,30,sales/marketing,M
34479,28,writer,M
30516,29,scientist,M
51067,28,college/grad student,M
52972,33,scientist,M
93468,59,lawyer,F
41837,29,executive/managerial,M
87850,29,other or not specified,M
39365,21,K-12 student,F
102759,28,college/grad student,F
50906,27,college/grad student,M
9653,31,college/grad student,M
81672,31,executive/managerial,M
62402,31,college/grad student,M
36713,18,homemaker,M
48960,32,scientist,M
5257,29,self-employed,M
48842,24,scientist,M
54059,18,sales/marketing,M
18517,20,sales/marketing,M
21961,32,college/grad student,M
35634,33,other or not specified,M
58208,25,sales/marketing,M
51091,18,college/grad student,M
27605,37,retired,M
57824,30,college/grad student,M
55390,50,retired,F
22311,59,clerical/admin,F
95771,28,sales/marketing,M
89966,24,college/grad student,M
17505,31,college/grad student,M
80774,34,college/grad student,M
18504,27,lawyer,M
21050,29,college/grad student,M
66201,42,sales/marketing,M
16982,32,college/grad student,M
32945,30,college/grad student,M
48986,26,college/grad student,M
63712,26,executive/managerial,M
32800,25,executive/managerial,M
42684,30,academic/educator,F
97444,31,executive/managerial,M
15217,31,executive/managerial,M
46162,33,executive/managerial,M
46420,23,college/grad student,M
37554,43,scientist,M
51622,41,academic/educator,F
48832,63,college/grad student,M
99645,69,retired,F
80249,28,doctor/health care,M
54948,33,executive/managerial,M
93796,30,lawyer,M
9383,34,executive/managerial,M
26250,25,executive/managerial,M
60403,25,scientist,M
28526,28,self-employed,M
13740,28,executive/managerial,M
23369,28,executive/managerial,M
15239,42,other or not specified,M
36451,34,sales/marketing,M
81016,33,other or not specified,F
43615,31,sales/marketing,M
102544,26,sales/marketing,M
17788,24,programmer,M
25904,27,college/grad student,M
58730,28,sales/marketing,M
80709,32,technician/engineer,M
62622,32,scientist,M
60188,27,sales/marketing,M
97974,32,executive/managerial,M
7400,33,self-employed,M
61417,25,other or not specified,M
16086,32,executive/managerial,M
3021,33,academic/educator,F
1939,26,college/grad student,M
2341,28,executive/managerial,M
93548,18,artist,M
20520,26,scientist,M
37746,30,executive/managerial,M
1808,30,scientist,M
1137,29,academic/educator,M
83447,28,college/grad student,M
38662,56,executive/managerial,M
3460,31,college/grad student,M
29071,31,sales/marketing,M
89375,18,artist,F
77322,26,clerical/admin,M
46842,31,other or not specified,M
43057,33,college/grad student,M
10244,29,executive/managerial,M
89676,32,college/grad student,M
43990,21,executive/managerial,M
45042,25,college/grad student,M
81828,32,college/grad student,F
25380,21,K-12 student,M
73817,18,sales/marketing,M
91648,29,college/grad student,M
36224,30,scientist,M
22788,30,college/grad student,M
44276,31,scientist,M
94755,33,college/grad student,M
23665,27,doctor/health care,M
76004,31,scientist,M
85189,18,K-12 student,M
87875,44,executive/managerial,M
1544,34,executive/managerial,M
96156,28,scientist,F
25082,28,college/grad student,M
99152,34,homemaker,M
19291,25,sales/marketing,M
25444,27,sales/marketing,M
73633,32,college/grad student,M
100671,32,college/grad student,M
4714,26,sales/marketing,M
47622,32,scientist,M
